variable,ncvar,dataset,monthly,file_name,download_path,download_function,file_name_orig,download_path_orig,version,long_name,abbreviated_name,time_frame,units,units_exp,dataset_list_v
temperature_min_09,temperature_min_09,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_09_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Sep,min T Sep,september,degrees Celsius,*degree*C*,
temperature_min_10,temperature_min_10,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_10_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Oct,min T Oct,october,degrees Celsius,*degree*C*,
temperature_min_11,temperature_min_11,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_11_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Nov,min T Nov,november,degrees Celsius,*degree*C*,
temperature_min_12,temperature_min_12,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_min_12_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,minimum temperature Dec,min T Dec,december,degrees Celsius,*degree*C*,
temperature_max_01,temperature_max_01,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_01_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Jan,max T Jan,january,degrees Celsius,*degree*C*,
temperature_max_02,temperature_max_02,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_02_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Feb,max T Feb,february,degrees Celsius,*degree*C*,
temperature_max_03,temperature_max_03,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_03_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Mar,max T Mar,march,degrees Celsius,*degree*C*,
temperature_max_04,temperature_max_04,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_04_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Apr,max T Apr,april,degrees Celsius,*degree*C*,
temperature_max_05,temperature_max_05,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_05_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature May,max T May,may,degrees Celsius,*degree*C*,
temperature_max_06,temperature_max_06,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_06_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Jun,max T Jun,june,degrees Celsius,*degree*C*,
temperature_max_07,temperature_max_07,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_07_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Jul,max T Jul,july,degrees Celsius,*degree*C*,
temperature_max_08,temperature_max_08,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_08_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Aug,max T Aug,august,degrees Celsius,*degree*C*,
temperature_max_09,temperature_max_09,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_09_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Sep,max T Sep,september,degrees Celsius,*degree*C*,
temperature_max_10,temperature_max_10,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_10_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Oct,max T Oct,october,degrees Celsius,*degree*C*,
temperature_max_11,temperature_max_11,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_11_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Nov,max T Nov,november,degrees Celsius,*degree*C*,
temperature_max_12,temperature_max_12,WorldClim_2.1_XXX_YYY_ZZZm,TRUE,WorldClim_2.1_XXX_YYY_ZZZm_temperature_max_12_v2.0.0.vrt,,download_worldclim_future,,,2.0.0,maximum temperature Dec,max T Dec,december,degrees Celsius,*degree*C*,
