Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
0.247,-89,-121,-55
0.248,-91,-124,-55
0.249,-91,-119,-61
0.250,-97,-125,-68
0.251,-109,-133,-82
0.252,-118,-139,-95
0.253,-91,-122,-58
0.254,-106,-128,-81
0.255,-73,-108,-35
0.256,-99,-123,-72
0.257,-101,-126,-74
0.258,-99,-122,-74
0.259,-95,-118,-68
0.260,-91,-114,-65
0.261,-88,-109,-66
0.262,-79,-103,-54
0.263,-86,-119,-49
0.264,-75,-108,-39
0.265,-91,-117,-62
0.266,-87,-113,-57
0.267,-83,-107,-55
0.268,-44,-95,5
0.269,-75,-102,-45
0.270,-93,-115,-67
0.271,-93,-116,-66
0.272,-70,-109,-27
0.273,-32,-85,11
0.274,-76,-102,-47
0.275,-76,-101,-49
0.276,-49,-89,-6
0.277,-79,-103,-52
0.278,-79,-112,-43
0.279,-66,-91,-39
0.280,-47,-78,-14
0.281,-44,-68,-17
0.282,-38,-65,-10
0.283,-36,-61,-9
0.284,-34,-62,-4
0.285,-28,-54,0
0.286,-28,-56,0
0.287,-31,-63,2
0.288,-29,-65,4
0.289,-58,-87,-25
0.290,-70,-99,-37
0.291,-67,-93,-38
0.292,-74,-118,-24
0.293,-81,-108,-50
0.294,-75,-105,-41
0.295,-85,-107,-58
0.296,-73,-116,-23
0.297,-77,-102,-49
0.298,-61,-89,-28
0.299,-72,-98,-41
0.300,-63,-87,-34
0.301,-60,-86,-30
0.302,-44,-70,-14
0.303,-37,-62,-8
0.304,-37,-78,4
0.305,-47,-75,-16
0.306,-63,-100,-20
0.307,-50,-89,-5
0.308,-55,-84,-23
0.309,-54,-80,-25
0.310,-44,-70,-14
0.311,-40,-64,-13
0.312,-24,-49,1
0.313,-22,-49,4
0.314,-30,-71,7
0.315,-7,-39,11
0.316,-31,-65,3
0.317,-32,-86,13
0.318,-18,-51,8
0.319,-8,-33,8
0.320,-43,-84,2
0.321,-17,-47,7
0.322,-13,-42,8
0.323,1,-28,14
0.324,10,-20,23
0.325,6,-15,17
0.326,7,-14,18
0.327,9,-14,21
0.328,9,-15,21
0.329,10,-6,20
0.330,-8,-47,14
0.331,2,-31,17
0.332,-88,-156,2
0.333,9,-32,26
0.334,1,-45,20
0.335,-44,-90,2
0.336,-62,-116,-5
0.337,-53,-102,-2
0.338,-68,-117,-16
0.339,-68,-121,-12
0.340,-108,-143,-73
0.341,-145,-180,-109
0.342,-105,-148,-59
0.343,-125,-160,-89
0.344,-128,-162,-93
0.345,-106,-145,-66
0.346,-112,-144,-79
0.347,-102,-133,-70
0.348,-84,-129,-36
0.349,-118,-139,-95
0.350,-104,-128,-79
0.351,-96,-119,-73
0.352,-84,-110,-58
0.353,-94,-120,-68
0.354,-86,-129,-41
0.355,-80,-105,-53
0.356,-80,-109,-49
