Age (Ma),Sea level (m),lower unc (m),upper unc (m)
age,sea_level,l_unc,u_unc
1.088,-85,-113,-54
1.089,-86,-113,-57
1.090,-86,-111,-59
1.091,-94,-122,-64
1.092,-101,-131,-69
1.093,-93,-127,-57
1.094,-86,-123,-46
1.095,-95,-125,-63
1.096,-105,-129,-79
1.097,-114,-144,-83
1.098,-126,-161,-88
1.099,-119,-151,-84
1.100,-117,-146,-86
1.101,-116,-146,-83
1.102,-113,-144,-79
1.103,-94,-133,-51
1.104,-77,-125,-25
1.105,-74,-117,-27
1.106,-72,-111,-30
1.107,-53,-89,-15
1.108,-37,-69,-2
1.109,-61,-98,-22
1.110,-91,-132,-46
1.111,-83,-115,-48
1.112,-76,-101,-50
1.113,-89,-120,-57
1.114,-103,-139,-63
1.115,-105,-136,-71
1.116,-106,-132,-77
1.117,-114,-142,-83
1.118,-123,-154,-90
1.119,-121,-156,-83
1.120,-121,-160,-78
1.121,-134,-167,-97
1.122,-146,-175,-115
1.123,-144,-173,-113
1.124,-144,-173,-113
1.125,-139,-166,-110
1.126,-135,-159,-107
1.127,-140,-163,-115
1.128,-145,-167,-121
1.129,-134,-156,-110
1.130,-123,-145,-99
1.131,-102,-133,-69
1.132,-78,-120,-33
1.133,-93,-126,-56
1.134,-111,-137,-83
1.135,-107,-135,-77
1.136,-93,-124,-60
1.137,-84,-118,-47
1.138,-73,-111,-32
1.139,-79,-112,-43
1.140,-85,-114,-54
1.141,-81,-115,-43
1.142,-72,-113,-27
1.143,-81,-115,-45
1.144,-89,-116,-60
1.145,-83,-116,-49
1.146,-79,-117,-39
1.147,-79,-117,-38
1.148,-79,-117,-37
1.149,-79,-109,-49
1.150,-78,-100,-56
1.151,-68,-91,-44
1.152,-54,-80,-27
1.153,-52,-78,-25
1.154,-53,-79,-26
1.155,-56,-90,-20
1.156,-60,-103,-14
1.157,-53,-90,-14
1.158,-46,-77,-14
1.159,-57,-89,-24
1.160,-66,-99,-32
1.161,-56,-91,-20
1.162,-48,-83,-10
1.163,-54,-83,-25
1.164,-58,-82,-35
1.165,-48,-71,-24
1.166,-38,-61,-13
1.167,-34,-63,-5
1.168,-31,-65,2
1.169,-40,-71,-8
1.170,-48,-76,-19
1.171,-54,-81,-26
1.172,-60,-87,-34
1.173,-72,-96,-49
1.174,-83,-105,-63
1.175,-81,-115,-46
1.176,-79,-128,-27
1.177,-68,-108,-26
1.178,-56,-87,-24
1.179,-49,-89,-5
1.180,-42,-92,6
1.181,-52,-89,-13
1.182,-60,-85,-34
1.183,-74,-100,-47
1.184,-85,-113,-56
1.185,-80,-111,-48
1.186,-74,-108,-38
1.187,-73,-102,-43
1.188,-72,-96,-47
1.189,-85,-116,-52
1.190,-98,-137,-56
1.191,-119,-148,-88
1.192,-142,-163,-119
1.193,-138,-159,-116
1.194,-137,-158,-116
1.195,-143,-165,-118
1.196,-150,-176,-122
1.197,-153,-178,-126
1.198,-153,-178,-127
1.199,-160,-184,-135
1.200,-167,-190,-143
1.201,-147,-178,-113
1.202,-125,-167,-79
1.203,-141,-171,-109
1.204,-157,-178,-135
1.205,-140,-172,-106
1.206,-123,-169,-73
1.207,-137,-169,-103
1.208,-150,-171,-129
1.209,-144,-165,-123
1.210,-135,-157,-113
1.211,-121,-151,-90
1.212,-107,-146,-64
1.213,-113,-145,-79
1.214,-122,-147,-96
1.215,-106,-136,-75
1.216,-92,-126,-54
1.217,-78,-125,-26
1.218,-67,-127,0
1.219,-84,-125,-40
1.220,-100,-124,-74
1.221,-89,-119,-58
1.222,-80,-115,-43
1.223,-65,-99,-30
1.224,-49,-81,-15
1.225,-41,-73,-7
1.226,-33,-65,0
1.227,-35,-67,-3
1.228,-35,-66,-3
1.229,-24,-51,2
1.230,-11,-36,7
1.231,-12,-40,7
1.232,-8,-39,10
1.233,-10,-40,9
1.234,-13,-41,7
1.235,-16,-48,8
1.236,-19,-56,9
1.237,-19,-53,8
1.238,-16,-49,8
1.239,-12,-51,13
1.240,-10,-55,16
1.241,-25,-74,12
1.242,-37,-89,9
1.243,-44,-91,3
1.244,-52,-93,-8
1.245,-80,-113,-44
1.246,-106,-132,-77
1.247,-119,-144,-92
1.248,-131,-154,-106
1.249,-129,-156,-99
1.250,-127,-159,-92
1.251,-125,-161,-85
1.252,-121,-161,-76
1.253,-127,-157,-94
1.254,-137,-158,-112
1.255,-123,-144,-98
1.256,-110,-132,-85
1.257,-99,-126,-69
1.258,-90,-122,-55
1.259,-77,-118,-32
1.260,-66,-116,-10
1.261,-73,-108,-35
1.262,-83,-107,-58
1.263,-66,-95,-35
1.264,-51,-86,-12
1.265,-60,-88,-30
1.266,-68,-90,-45
1.267,-63,-87,-37
1.268,-57,-84,-28
1.269,-55,-84,-24
1.270,-55,-87,-21
1.271,-46,-77,-13
1.272,-38,-69,-6
1.273,-43,-70,-14
1.274,-48,-73,-22
1.275,-44,-71,-15
1.276,-41,-70,-10
1.277,-51,-82,-17
1.278,-63,-97,-27
1.279,-56,-95,-15
1.280,-54,-97,-7
1.281,-56,-105,-1
1.282,-56,-112,3
1.283,-69,-106,-29
1.284,-80,-102,-55
1.285,-94,-122,-62
1.286,-107,-143,-67
1.287,-129,-158,-97
1.288,-147,-170,-121
1.289,-149,-173,-123
1.290,-151,-175,-124
1.291,-143,-166,-118
1.292,-133,-154,-109
1.293,-108,-135,-77
1.294,-81,-117,-42
1.295,-102,-132,-68
1.296,-123,-149,-94
1.297,-111,-137,-83
1.298,-97,-123,-69
1.299,-101,-127,-71
1.300,-104,-132,-73
1.301,-96,-128,-62
1.302,-89,-124,-51
1.303,-82,-116,-45
1.304,-74,-108,-38
1.305,-63,-99,-25
1.306,-53,-92,-12
1.307,-62,-94,-27
1.308,-70,-97,-42
1.309,-68,-95,-41
1.310,-66,-92,-39
1.311,-62,-89,-34
1.312,-60,-88,-32
1.313,-53,-91,-13
1.314,-47,-97,3
1.315,-52,-92,-9
1.316,-56,-87,-23
1.317,-58,-98,-14
1.318,-60,-110,-4
1.319,-69,-115,-19
1.320,-77,-119,-31
1.321,-86,-120,-49
1.322,-95,-122,-65
1.323,-97,-126,-67
1.324,-101,-130,-69
1.325,-105,-135,-72
1.326,-108,-139,-74
1.327,-106,-142,-66
1.328,-101,-143,-55
1.329,-114,-144,-82
1.330,-128,-148,-105
1.331,-126,-148,-102
1.332,-125,-149,-99
1.333,-124,-156,-90
1.334,-123,-164,-79
1.335,-125,-155,-93
1.336,-129,-150,-106
1.337,-120,-145,-91
1.338,-112,-143,-77
1.339,-115,-153,-74
1.340,-119,-163,-71
1.341,-107,-141,-70
1.342,-94,-120,-66
1.343,-74,-109,-37
1.344,-55,-99,-7
1.345,-67,-111,-20
1.346,-75,-119,-27
1.347,-58,-108,-2
1.348,-40,-97,10
1.349,-42,-90,4
1.350,-44,-83,-3
1.351,-28,-67,6
1.352,-15,-55,12
1.353,-15,-55,11
1.354,-16,-56,11
1.355,-23,-56,5
1.356,-26,-53,1
1.357,-31,-61,1
1.358,-38,-72,-1
1.359,-54,-84,-21
1.360,-68,-95,-40
1.361,-80,-113,-46
1.362,-92,-130,-50
1.363,-104,-133,-74
1.364,-115,-135,-93
1.365,-116,-138,-93
1.366,-118,-141,-92
1.367,-126,-147,-102
1.368,-136,-156,-114
1.369,-129,-156,-98
1.370,-119,-155,-78
1.371,-123,-149,-94
1.372,-128,-146,-106
1.373,-118,-141,-92
1.374,-108,-137,-76
1.375,-104,-139,-65
1.376,-96,-138,-49
1.377,-116,-147,-81
1.378,-137,-159,-111
1.379,-122,-145,-95
1.380,-107,-132,-79
1.381,-93,-120,-63
1.382,-80,-110,-47
1.383,-81,-109,-50
1.384,-78,-105,-49
1.385,-66,-92,-38
1.386,-56,-81,-29
1.387,-49,-83,-12
1.388,-41,-87,4
1.389,-46,-84,-4
1.390,-53,-84,-19
1.391,-46,-81,-10
1.392,-39,-77,1
1.393,-58,-112,1
1.394,-75,-144,2
1.395,-63,-118,-1
1.396,-54,-95,-10
1.397,-51,-85,-16
1.398,-48,-76,-19
1.399,-52,-96,-4
1.400,-55,-117,6
1.401,-70,-126,-6
1.402,-84,-136,-27
1.403,-85,-130,-36
1.404,-84,-122,-42
1.405,-86,-130,-39
1.406,-90,-139,-35
1.407,-84,-132,-32
1.408,-82,-127,-33
1.409,-112,-142,-79
1.410,-137,-157,-115
1.411,-145,-167,-120
1.412,-152,-176,-125
1.413,-145,-170,-118
1.414,-143,-168,-115
1.415,-135,-173,-92
1.416,-129,-182,-70
1.417,-117,-163,-67
1.418,-101,-139,-59
1.419,-109,-137,-79
1.420,-119,-138,-97
1.421,-118,-139,-94
1.422,-116,-139,-90
1.423,-105,-128,-80
1.424,-94,-117,-70
1.425,-85,-109,-59
1.426,-75,-101,-46
1.427,-65,-98,-29
1.428,-56,-97,-11
1.429,-52,-84,-16
1.430,-46,-71,-19
1.431,-39,-65,-10
1.432,-30,-58,0
1.433,-29,-57,1
1.434,-30,-58,0
1.435,-28,-56,1
1.436,-24,-52,3
1.437,-8,-46,13
1.438,4,-40,21
1.439,-4,-41,14
1.440,-17,-43,4
1.441,-13,-49,10
1.442,-6,-54,17
1.443,-19,-54,8
1.444,-31,-56,-5
1.445,-24,-54,4
1.446,-15,-52,10
1.447,-17,-61,12
1.448,-19,-69,14
1.449,-16,-58,12
1.450,-12,-46,10
1.451,-22,-70,13
1.452,-31,-95,16
1.453,-72,-139,2
1.454,-115,-184,-35
1.455,-126,-176,-70
1.456,-143,-174,-107
1.457,-148,-176,-116
1.458,-152,-177,-122
1.459,-141,-174,-104
1.460,-133,-173,-87
1.461,-130,-168,-89
1.462,-129,-162,-91
1.463,-122,-151,-89
1.464,-115,-140,-87
1.465,-97,-125,-66
1.466,-79,-110,-46
1.467,-88,-122,-52
1.468,-98,-134,-58
1.469,-81,-134,-22
1.470,-62,-134,9
1.471,-72,-128,-10
1.472,-82,-123,-38
1.473,-65,-102,-25
1.474,-47,-81,-12
1.475,-45,-84,-2
1.476,-41,-86,3
1.477,-43,-86,1
1.478,-44,-85,-1
1.479,-36,-72,1
1.480,-26,-57,3
1.481,-28,-55,0
1.482,-30,-53,-6
1.483,-33,-64,-1
1.484,-38,-79,3
1.485,-49,-90,-5
1.486,-59,-99,-15
1.487,-42,-79,-3
1.488,-23,-57,5
1.489,-31,-77,8
1.490,-38,-98,12
1.491,-79,-125,-29
1.492,-116,-150,-80
1.493,-125,-158,-89
1.494,-133,-166,-98
1.495,-152,-180,-124
1.496,-171,-193,-148
1.497,-158,-188,-125
1.498,-146,-186,-104
1.499,-151,-186,-113
1.500,-157,-188,-124
1.501,-151,-184,-117
1.502,-145,-179,-109
1.503,-138,-173,-99
1.504,-120,-167,-69
1.505,-102,-161,-36
1.506,-112,-156,-64
1.507,-122,-153,-89
1.508,-132,-152,-110
1.509,-122,-144,-99
1.510,-113,-136,-88
1.511,-106,-132,-79
1.512,-102,-130,-72
1.513,-96,-127,-63
1.514,-93,-125,-60
1.515,-90,-122,-55
1.516,-82,-114,-48
1.517,-74,-105,-40
1.518,-67,-98,-34
1.519,-60,-92,-26
1.520,-52,-84,-17
1.521,-61,-90,-30
1.522,-66,-93,-38
1.523,-75,-99,-49
1.524,-84,-113,-53
1.525,-91,-126,-53
1.526,-95,-125,-63
1.527,-99,-124,-72
1.528,-105,-126,-83
1.529,-111,-144,-76
1.530,-122,-169,-71
1.531,-128,-167,-87
1.532,-137,-167,-104
1.533,-144,-167,-119
1.534,-154,-186,-119
1.535,-164,-207,-118
1.536,-158,-200,-112
1.537,-149,-191,-104
1.538,-143,-185,-98
1.539,-151,-186,-112
1.540,-158,-188,-126
1.541,-150,-176,-122
1.542,-143,-166,-118
1.543,-135,-156,-113
1.544,-122,-147,-95
1.545,-109,-140,-76
1.546,-105,-134,-74
1.547,-98,-125,-69
1.548,-92,-119,-65
1.549,-79,-116,-39
1.550,-66,-116,-10
1.551,-77,-121,-30
1.552,-82,-120,-42
1.553,-86,-118,-52
1.554,-82,-119,-43
1.555,-79,-120,-34
1.556,-78,-118,-36
1.557,-80,-117,-39
1.558,-84,-120,-47
1.559,-83,-114,-50
1.560,-79,-106,-51
1.561,-75,-102,-46
1.562,-70,-97,-41
1.563,-65,-93,-36
1.564,-64,-92,-34
1.565,-60,-89,-29
1.566,-65,-99,-29
1.567,-68,-107,-26
1.568,-71,-115,-22
1.569,-82,-120,-42
1.570,-92,-123,-59
1.571,-105,-135,-74
1.572,-116,-144,-87
1.573,-129,-155,-102
1.574,-142,-167,-115
1.575,-154,-178,-129
1.576,-154,-179,-129
1.577,-153,-178,-127
1.578,-147,-172,-120
1.579,-133,-159,-105
1.580,-118,-145,-90
1.581,-116,-152,-79
1.582,-113,-158,-65
1.583,-112,-166,-52
1.584,-104,-145,-60
1.585,-96,-125,-66
1.586,-92,-120,-62
1.587,-87,-115,-58
1.588,-82,-110,-54
1.589,-80,-111,-47
1.590,-76,-110,-38
1.591,-81,-119,-40
1.592,-90,-130,-47
1.593,-101,-143,-56
1.594,-91,-127,-53
1.595,-78,-108,-47
1.596,-74,-101,-46
1.597,-70,-94,-45
1.598,-67,-89,-45
1.599,-60,-85,-35
1.600,-53,-81,-22
1.601,-49,-83,-11
1.602,-45,-86,0
1.603,-41,-90,5
1.604,-44,-88,2
1.605,-48,-88,-6
1.606,-55,-94,-13
1.607,-62,-101,-20
1.608,-69,-108,-27
1.609,-81,-120,-39
1.610,-92,-132,-50
1.611,-98,-130,-65
1.612,-104,-129,-79
1.613,-109,-129,-90
1.614,-105,-128,-82
1.615,-100,-127,-73
1.616,-102,-133,-71
1.617,-103,-139,-67
1.618,-105,-145,-63
1.619,-88,-120,-55
1.620,-72,-97,-47
1.621,-67,-92,-41
1.622,-63,-88,-37
1.623,-59,-84,-32
1.624,-63,-90,-36
1.625,-68,-95,-40
1.626,-80,-115,-44
1.627,-94,-137,-49
1.628,-107,-157,-53
1.629,-85,-132,-35
1.630,-62,-105,-16
1.631,-57,-98,-13
1.632,-52,-90,-11
1.633,-46,-82,-8
1.634,-55,-105,-1
1.635,-66,-129,2
1.636,-55,-106,0
1.637,-45,-84,-4
1.638,-36,-63,-6
1.639,-61,-95,-24
1.640,-85,-126,-40
1.641,-84,-131,-33
1.642,-84,-137,-26
1.643,-84,-142,-19
1.644,-98,-146,-46
1.645,-113,-152,-72
1.646,-116,-152,-77
1.647,-120,-154,-83
1.648,-123,-155,-89
1.649,-131,-164,-96
1.650,-141,-174,-105
1.651,-141,-173,-106
1.652,-140,-171,-107
1.653,-139,-169,-107
1.654,-143,-169,-114
1.655,-146,-170,-122
1.656,-141,-166,-115
1.657,-135,-160,-107
1.658,-127,-154,-98
1.659,-126,-154,-97
1.660,-124,-152,-94
1.661,-117,-146,-86
1.662,-115,-144,-83
1.663,-112,-142,-80
1.664,-112,-141,-82
1.665,-113,-139,-85
1.666,-107,-136,-76
1.667,-100,-132,-65
1.668,-97,-133,-59
1.669,-96,-129,-61
1.670,-94,-124,-63
1.671,-87,-115,-56
1.672,-78,-105,-48
1.673,-74,-100,-46
1.674,-64,-91,-36
1.675,-55,-82,-26
1.676,-60,-89,-31
1.677,-66,-95,-35
1.678,-72,-102,-40
1.679,-65,-94,-33
1.680,-58,-88,-27
1.681,-55,-84,-25
1.682,-50,-78,-21
1.683,-50,-77,-22
1.684,-53,-79,-26
1.685,-53,-77,-27
1.686,-55,-86,-23
1.687,-59,-97,-17
1.688,-60,-107,-9
1.689,-67,-107,-24
1.690,-76,-109,-40
1.691,-82,-117,-45
1.692,-88,-124,-49
1.693,-92,-130,-52
1.694,-100,-136,-61
1.695,-105,-140,-68
1.696,-100,-131,-66
1.697,-93,-121,-63
1.698,-87,-113,-60
1.699,-97,-135,-56
1.700,-107,-158,-51
1.701,-119,-163,-71
1.702,-131,-168,-91
1.703,-141,-172,-108
1.704,-140,-169,-109
1.705,-138,-165,-110
1.706,-135,-162,-105
1.707,-131,-159,-100
1.708,-125,-155,-94
1.709,-116,-142,-87
1.710,-106,-129,-80
1.711,-95,-124,-64
1.712,-84,-119,-46
1.713,-73,-114,-27
1.714,-67,-108,-23
1.715,-63,-103,-21
1.716,-59,-107,-6
1.717,-56,-113,4
1.718,-51,-118,10
1.719,-51,-107,5
1.720,-48,-93,1
1.721,-58,-99,-13
1.722,-68,-105,-27
1.723,-78,-112,-41
1.724,-80,-115,-41
1.725,-81,-118,-41
1.726,-81,-119,-40
1.727,-81,-120,-39
1.728,-82,-121,-38
1.729,-77,-110,-40
1.730,-71,-99,-41
1.731,-85,-118,-50
1.732,-100,-139,-58
1.733,-113,-157,-65
1.734,-88,-121,-53
1.735,-64,-87,-39
1.736,-67,-94,-37
1.737,-71,-104,-35
1.738,-75,-114,-32
1.739,-82,-129,-31
1.740,-88,-142,-27
1.741,-94,-147,-34
1.742,-95,-147,-36
1.743,-100,-152,-42
1.744,-118,-162,-68
1.745,-134,-171,-92
1.746,-130,-168,-88
1.747,-126,-165,-84
1.748,-122,-161,-79
1.749,-113,-150,-73
1.750,-104,-139,-66
1.751,-96,-128,-62
1.752,-91,-119,-60
1.753,-85,-111,-58
1.754,-70,-103,-35
1.755,-54,-94,-9
1.756,-66,-106,-22
1.757,-73,-113,-29
1.758,-82,-122,-38
1.759,-70,-102,-36
1.760,-59,-83,-32
1.761,-46,-79,-9
1.762,-33,-78,7
1.763,-25,-82,15
1.764,-21,-75,15
1.765,-17,-66,15
1.766,-24,-72,12
1.767,-30,-77,9
1.768,-35,-81,7
1.769,-34,-71,3
1.770,-32,-61,-2
1.771,-37,-65,-7
1.772,-39,-67,-9
1.773,-44,-72,-15
1.774,-53,-82,-22
1.775,-61,-92,-28
1.776,-68,-100,-34
1.777,-75,-107,-40
1.778,-82,-116,-46
1.779,-80,-117,-42
1.780,-77,-116,-35
1.781,-82,-125,-35
1.782,-87,-134,-36
1.783,-94,-145,-37
1.784,-93,-134,-48
1.785,-90,-122,-56
1.786,-87,-121,-50
1.787,-83,-120,-42
1.788,-77,-117,-33
1.789,-93,-126,-57
1.790,-111,-138,-82
1.791,-121,-149,-91
1.792,-127,-155,-96
1.793,-136,-164,-105
1.794,-128,-156,-97
1.795,-122,-150,-92
1.796,-121,-151,-89
1.797,-116,-148,-82
1.798,-114,-148,-77
1.799,-107,-141,-70
1.800,-102,-135,-66
1.801,-99,-130,-65
1.802,-94,-124,-63
1.803,-91,-119,-61
1.804,-77,-107,-45
1.805,-66,-98,-32
1.806,-67,-98,-34
1.807,-67,-96,-36
1.808,-68,-96,-37
1.809,-50,-77,-21
1.810,-34,-60,-6
1.811,-45,-72,-16
1.812,-59,-88,-29
1.813,-68,-97,-36
1.814,-81,-120,-39
1.815,-93,-142,-39
1.816,-89,-138,-34
1.817,-83,-133,-28
1.818,-79,-129,-23
1.819,-71,-117,-20
1.820,-62,-105,-15
1.821,-54,-94,-11
1.822,-49,-85,-11
1.823,-40,-73,-5
1.824,-40,-75,-4
1.825,-41,-77,-2
1.826,-43,-78,-6
1.827,-47,-80,-12
1.828,-50,-82,-16
1.829,-50,-89,-8
1.830,-58,-105,-7
1.831,-59,-111,-2
1.832,-62,-120,1
1.833,-58,-122,6
1.834,-79,-134,-16
1.835,-98,-147,-45
1.836,-96,-144,-43
1.837,-94,-141,-42
1.838,-95,-141,-45
1.839,-90,-139,-37
1.840,-82,-134,-25
1.841,-83,-135,-26
1.842,-86,-138,-28
1.843,-90,-142,-32
1.844,-89,-135,-38
1.845,-83,-125,-38
1.846,-80,-120,-36
1.847,-75,-114,-32
1.848,-69,-107,-27
1.849,-63,-100,-22
1.850,-53,-90,-14
1.851,-53,-89,-15
1.852,-50,-85,-13
1.853,-49,-83,-12
1.854,-49,-84,-12
1.855,-51,-87,-14
1.856,-52,-88,-13
1.857,-53,-90,-13
1.858,-55,-93,-14
1.859,-59,-94,-21
1.860,-61,-93,-26
1.861,-77,-113,-38
1.862,-96,-137,-52
1.863,-115,-160,-67
1.864,-107,-147,-64
1.865,-97,-132,-59
1.866,-93,-130,-53
1.867,-89,-128,-47
1.868,-86,-126,-42
1.869,-99,-141,-55
1.870,-112,-154,-66
1.871,-103,-154,-46
1.872,-97,-157,-28
1.873,-90,-160,-8
1.874,-109,-166,-46
1.875,-119,-163,-70
1.876,-110,-153,-63
1.877,-98,-139,-53
1.878,-90,-130,-46
1.879,-93,-128,-56
1.880,-95,-126,-63
1.881,-87,-117,-55
1.882,-78,-107,-47
1.883,-70,-99,-40
1.884,-56,-82,-28
1.885,-46,-70,-20
1.886,-37,-70,-2
1.887,-32,-75,7
1.888,-22,-78,15
1.889,-34,-80,7
1.890,-46,-83,-5
1.891,-42,-79,-3
1.892,-40,-76,-1
1.893,-37,-72,0
1.894,-57,-88,-25
1.895,-73,-100,-45
1.896,-74,-104,-43
1.897,-72,-105,-37
1.898,-70,-106,-31
1.899,-96,-132,-58
1.900,-114,-150,-76
1.901,-119,-156,-79
1.902,-122,-161,-81
1.903,-128,-168,-86
1.904,-128,-167,-87
1.905,-127,-164,-87
1.906,-130,-163,-97
1.907,-135,-162,-108
1.908,-140,-162,-117
1.909,-126,-152,-100
1.910,-116,-145,-86
1.911,-112,-142,-82
1.912,-109,-139,-77
1.913,-105,-137,-72
1.914,-93,-123,-62
1.915,-84,-112,-54
1.916,-85,-112,-57
1.917,-87,-113,-62
1.918,-90,-114,-65
1.919,-88,-112,-64
1.920,-87,-110,-63
1.921,-83,-106,-60
1.922,-79,-102,-56
1.923,-77,-99,-54
1.924,-81,-105,-57
1.925,-83,-110,-56
1.926,-74,-101,-46
1.927,-65,-91,-37
1.928,-55,-82,-28
1.929,-52,-79,-25
1.930,-51,-77,-24
1.931,-53,-81,-23
1.932,-53,-84,-21
1.933,-50,-84,-14
1.934,-44,-80,-6
1.935,-34,-72,3
1.936,-37,-74,1
1.937,-43,-78,-6
1.938,-51,-84,-15
1.939,-60,-95,-21
1.940,-68,-107,-26
1.941,-81,-118,-40
1.942,-99,-135,-60
1.943,-115,-149,-77
1.944,-123,-162,-79
1.945,-131,-176,-82
1.946,-135,-173,-93
1.947,-139,-171,-104
1.948,-144,-170,-116
1.949,-131,-162,-96
1.950,-115,-153,-73
1.951,-112,-147,-74
1.952,-110,-141,-76
1.953,-109,-137,-78
1.954,-102,-131,-70
1.955,-94,-125,-61
1.956,-91,-123,-56
1.957,-85,-119,-48
1.958,-83,-118,-45
1.959,-85,-123,-44
1.960,-88,-128,-43
1.961,-90,-128,-49
1.962,-92,-128,-55
1.963,-93,-126,-59
1.964,-92,-123,-59
1.965,-91,-120,-59
1.966,-84,-117,-47
1.967,-79,-117,-37
1.968,-72,-115,-25
1.969,-68,-113,-18
1.970,-65,-113,-13
1.971,-54,-94,-11
1.972,-44,-76,-9
1.973,-32,-59,-5
1.974,-42,-76,-5
1.975,-50,-93,-4
1.976,-47,-91,1
1.977,-43,-89,3
1.978,-38,-86,6
1.979,-22,-69,12
1.980,-6,-51,16
1.981,-15,-57,12
1.982,-23,-62,8
1.983,-31,-68,4
1.984,-34,-67,1
1.985,-39,-69,-8
1.986,-39,-68,-8
1.987,-40,-69,-10
1.988,-42,-70,-12
1.989,-37,-72,1
1.990,-31,-75,7
1.991,-43,-82,-1
1.992,-51,-85,-15
1.993,-58,-88,-26
1.994,-61,-89,-33
1.995,-60,-85,-35
1.996,-73,-100,-45
1.997,-88,-117,-57
1.998,-101,-134,-67
1.999,-111,-140,-80
2.000,-122,-149,-95
2.001,-113,-143,-82
2.002,-104,-137,-69
2.003,-95,-132,-57
2.004,-99,-130,-67
2.005,-102,-127,-76
2.006,-99,-123,-74
2.007,-96,-119,-73
2.008,-92,-115,-70
2.009,-78,-104,-51
2.010,-65,-97,-32
2.011,-73,-103,-43
2.012,-80,-107,-52
2.013,-87,-112,-61
2.014,-89,-121,-56
2.015,-95,-134,-54
2.016,-82,-119,-43
2.017,-70,-106,-32
2.018,-53,-88,-17
2.019,-50,-81,-16
2.020,-46,-75,-15
2.021,-46,-79,-12
2.022,-49,-85,-10
2.023,-54,-93,-11
2.024,-42,-90,5
2.025,-29,-86,14
2.026,-33,-84,10
2.027,-40,-85,4
2.028,-45,-83,-3
2.029,-42,-75,-7
2.030,-40,-68,-10
2.031,-47,-75,-17
2.032,-53,-81,-24
2.033,-63,-92,-34
2.034,-71,-102,-39
2.035,-79,-113,-44
2.036,-75,-109,-40
2.037,-70,-104,-33
2.038,-64,-99,-26
2.039,-75,-107,-41
2.040,-84,-113,-53
2.041,-84,-113,-54
2.042,-87,-116,-57
2.043,-85,-113,-56
2.044,-91,-117,-64
2.045,-96,-120,-72
2.046,-79,-111,-46
2.047,-63,-104,-19
2.048,-46,-97,5
2.049,-59,-105,-8
2.050,-71,-113,-25
2.051,-70,-112,-24
2.052,-72,-114,-26
2.053,-73,-115,-27
2.054,-82,-120,-40
2.055,-90,-125,-53
2.056,-86,-125,-44
2.057,-82,-125,-35
2.058,-78,-125,-26
2.059,-89,-131,-41
2.060,-99,-137,-56
2.061,-97,-136,-54
2.062,-98,-137,-55
2.063,-99,-137,-56
2.064,-107,-145,-66
2.065,-115,-151,-75
2.066,-120,-152,-85
2.067,-125,-152,-95
2.068,-134,-157,-108
2.069,-138,-160,-114
2.070,-145,-166,-122
2.071,-142,-162,-119
2.072,-137,-157,-114
2.073,-133,-154,-111
2.074,-127,-152,-100
2.075,-116,-147,-83
2.076,-115,-150,-76
2.077,-111,-151,-66
2.078,-110,-156,-59
2.079,-103,-141,-61
2.080,-99,-129,-66
2.081,-109,-138,-77
2.082,-118,-147,-87
2.083,-128,-156,-98
2.084,-120,-149,-88
2.085,-111,-142,-77
2.086,-110,-139,-79
2.087,-111,-138,-82
2.088,-112,-137,-85
2.089,-98,-121,-72
2.090,-81,-103,-58
2.091,-83,-105,-59
2.092,-82,-105,-57
2.093,-80,-104,-55
2.094,-67,-92,-40
2.095,-52,-79,-23
2.096,-46,-74,-16
2.097,-40,-69,-8
2.098,-35,-66,-3
2.099,-35,-70,1
2.100,-32,-73,5
2.101,-39,-81,3
2.102,-44,-87,1
2.103,-51,-95,-2
2.104,-57,-96,-15
2.105,-64,-97,-28
2.106,-61,-93,-28
2.107,-57,-86,-25
2.108,-55,-83,-26
2.109,-50,-83,-16
2.110,-46,-83,-6
2.111,-43,-76,-7
2.112,-43,-72,-11
2.113,-39,-66,-11
2.114,-41,-74,-7
2.115,-43,-82,-1
2.116,-53,-96,-7
2.117,-66,-111,-15
2.118,-78,-127,-24
2.119,-79,-124,-30
2.120,-79,-120,-36
2.121,-87,-121,-51
2.122,-94,-123,-65
2.123,-101,-124,-77
2.124,-84,-112,-54
2.125,-65,-98,-30
2.126,-57,-91,-21
2.127,-52,-87,-15
2.128,-48,-83,-10
2.129,-28,-71,8
2.130,-9,-60,17
2.131,-18,-59,11
2.132,-26,-58,3
2.133,-34,-59,-8
2.134,-21,-60,8
2.135,-7,-63,19
2.136,-8,-69,20
2.137,-13,-78,20
2.138,-18,-87,21
2.139,-21,-68,12
2.140,-22,-49,3
2.141,-30,-58,-1
2.142,-39,-66,-10
2.143,-48,-75,-20
2.144,-66,-98,-30
2.145,-81,-120,-38
2.146,-86,-128,-39
2.147,-89,-134,-39
2.148,-94,-142,-41
2.149,-119,-157,-76
2.150,-140,-170,-107
2.151,-146,-174,-114
2.152,-149,-177,-119
2.153,-155,-182,-126
2.154,-145,-172,-116
2.155,-136,-162,-106
2.156,-136,-163,-107
2.157,-133,-160,-103
2.158,-132,-159,-103
2.159,-130,-155,-103
2.160,-131,-153,-106
2.161,-122,-149,-93
2.162,-112,-144,-78
2.163,-102,-139,-61
2.164,-102,-142,-58
2.165,-101,-143,-54
2.166,-98,-134,-60
2.167,-96,-126,-65
2.168,-93,-118,-68
2.169,-90,-114,-64
