variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig
precipitation_05,precipitation_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_06,precipitation_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_07,precipitation_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_08,precipitation_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_09,precipitation_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_10,precipitation_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_11,precipitation_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
precipitation_12,precipitation_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_01,cloudiness_01,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_02,cloudiness_02,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_03,cloudiness_03,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_04,cloudiness_04,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_05,cloudiness_05,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_06,cloudiness_06,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_07,cloudiness_07,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_08,cloudiness_08,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_09,cloudiness_09,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_10,cloudiness_10,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_11,cloudiness_11,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
cloudiness_12,cloudiness_12,Beyer2020,TRUE,Beyer2020_monthly_vars_v1.1.0.nc,,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
