variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig,version
bio11,bio11,Krapp2021,FALSE,Krapp2021_bio11_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio11_v1.0.0.nc?download=1,bio11_800ka.nc,https://osf.io/vaune/?action=download,1.1.0
bio12,bio12,Krapp2021,FALSE,Krapp2021_bio12_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio12_v1.0.0.nc?download=1,bio12_800ka.nc,https://osf.io/kg9v6/?action=download,1.1.0
bio13,bio13,Krapp2021,FALSE,Krapp2021_bio13_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio13_v1.0.0.nc?download=1,bio13_800ka.nc,https://osf.io/2u5c6/?action=download,1.1.0
bio14,bio14,Krapp2021,FALSE,Krapp2021_bio14_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio14_v1.0.0.nc?download=1,bio14_800ka.nc,https://osf.io/z2ewu/?action=download,1.1.0
bio15,bio15,Krapp2021,FALSE,Krapp2021_bio15_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio15_v1.0.0.nc?download=1,bio15_800ka.nc,https://osf.io/z52xr/?action=download,1.1.0
bio16,bio16,Krapp2021,FALSE,Krapp2021_bio16_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio16_v1.0.0.nc?download=1,bio16_800ka.nc,https://osf.io/kn8ma/?action=download,1.1.0
bio17,bio17,Krapp2021,FALSE,Krapp2021_bio17_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio17_v1.0.0.nc?download=1,bio17_800ka.nc,https://osf.io/2z8ej/?action=download,1.1.0
bio18,bio18,Krapp2021,FALSE,Krapp2021_bio18_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio18_v1.0.0.nc?download=1,bio18_800ka.nc,https://osf.io/a2uhm/?action=download,1.1.0
bio19,bio19,Krapp2021,FALSE,Krapp2021_bio19_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_bio19_v1.0.0.nc?download=1,bio19_800ka.nc,https://osf.io/3mbd9/?action=download,1.1.0
npp,npp,Krapp2021,FALSE,Krapp2021_npp_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_biome_v1.0.0.nc?download=1,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download,1.1.0
biome,biome,Krapp2021,FALSE,Krapp2021_biome_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_biome_v1.0.0.nc?download=1,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download,1.1.0
altitude,altitude,Krapp2021,FALSE,Krapp2021_topography_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_topography_v1.0.0.nc?download=1,,,1.1.0
rugosity,rugosity,Krapp2021,FALSE,Krapp2021_topography_v1.0.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_topography_v1.0.0.nc?download=1,,,1.1.0
temperature_01,temp_01,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_02,temp_02,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_03,temp_03,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_04,temp_04,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_05,temp_05,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_06,temp_06,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_07,temp_07,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_08,temp_08,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_09,temp_09,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_10,temp_10,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_11,temp_11,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
temperature_12,temp_12,Krapp2021,TRUE,Krapp2021_temp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_temp_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_01,prec_01,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_02,prec_02,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_03,prec_03,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_04,prec_04,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_05,prec_05,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_06,prec_06,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_07,prec_07,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_08,prec_08,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_09,prec_09,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_10,prec_10,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_11,prec_11,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
precipitation_12,prec_12,Krapp2021,TRUE,Krapp2021_prec_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_prec_monthly_v1.1.0.nc?download=1,,,1.1.0
mo_npp_01,mo_npp_01,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_02,mo_npp_02,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_03,mo_npp_03,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_04,mo_npp_04,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_05,mo_npp_05,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_06,mo_npp_06,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_07,mo_npp_07,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_08,mo_npp_08,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_09,mo_npp_09,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_10,mo_npp_10,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_11,mo_npp_11,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
mo_npp_12,mo_npp_12,Krapp2021,TRUE,Krapp2021_npp_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_npp_v1.0.0.nc?download=1,,,1.1.0
cloudiness_01,tcc_01,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_02,tcc_02,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_03,tcc_03,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_04,tcc_04,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_05,tcc_05,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_06,tcc_06,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_07,tcc_07,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_08,tcc_08,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_09,tcc_09,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_10,tcc_10,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_11,tcc_11,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
cloudiness_12,tcc_12,Krapp2021,TRUE,Krapp2021_tcc_monthly_v1.1.0.nc,https://zenodo.org/record/7065055/files/Krapp2021_tcc_monthly_v1.1.0.nc?download=1,,,1.1.0
