variable,ncvar,dataset,monthly,file_name,download_path,file_name_orig,download_path_orig
temperature_max,max_temperature,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
biome,biome,Beyer2020,FALSE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_Environment.nc,https://ndownloader.figshare.com/files/22659026
npp_monthly,mo_npp,Beyer2020,TRUE,LateQuaternary_Environment_rm_ice_int_seas.nc,https://figshare.com/ndownloader/files/33981851?private_link=d2cd87524fa0237f3cc7,LateQuaternary_MonthlyNPP.nc,https://ndownloader.figshare.com/files/28567032
bio01,bio01,Krapp2021,FALSE,bio01_800ka.nc,https://osf.io/a39gh/?action=download,,
bio04,bio04,Krapp2021,FALSE,bio04_800ka.nc,https://osf.io/p82ue/?action=download,,
bio05,bio05,Krapp2021,FALSE,bio05_800ka.nc,https://osf.io/emhp9/?action=download,,
bio06,bio06,Krapp2021,FALSE,bio06_800ka.nc,https://osf.io/cm923/?action=download,,
bio07,bio07,Krapp2021,FALSE,bio07_800ka.nc,https://osf.io/prq8n/?action=download,,
bio08,bio08,Krapp2021,FALSE,bio08_800ka.nc,https://osf.io/7jsa8/?action=download,,
bio09,bio09,Krapp2021,FALSE,bio09_800ka.nc,https://osf.io/zaxku/?action=download,,
bio10,bio10,Krapp2021,FALSE,bio10_800ka.nc,https://osf.io/b3kx8/?action=download,,
bio11,bio11,Krapp2021,FALSE,bio11_800ka.nc,https://osf.io/vaune/?action=download,,
bio12,bio12,Krapp2021,FALSE,bio12_800ka.nc,https://osf.io/kg9v6/?action=download,,
bio13,bio13,Krapp2021,FALSE,bio13_800ka.nc,https://osf.io/2u5c6/?action=download,,
bio14,bio14,Krapp2021,FALSE,bio14_800ka.nc,https://osf.io/z2ewu/?action=download,,
bio15,bio15,Krapp2021,FALSE,bio15_800ka.nc,https://osf.io/z52xr/?action=download,,
bio16,bio16,Krapp2021,FALSE,bio16_800ka.nc,https://osf.io/kn8ma/?action=download,,
bio17,bio17,Krapp2021,FALSE,bio17_800ka.nc,https://osf.io/2z8ej/?action=download,,
bio18,bio18,Krapp2021,FALSE,bio18_800ka.nc,https://osf.io/a2uhm/?action=download,,
bio19,bio19,Krapp2021,FALSE,bio19_800ka.nc,https://osf.io/3mbd9/?action=download,,
bio01,BIO1,Example,FALSE,example_climate.nc,,,
bio10,BIO10,Example,FALSE,example_climate.nc,,,
bio12,BIO12,Example,FALSE,example_climate.nc,,,
biome,biome,Example,FALSE,example_climate.nc,,,
npp,npp,Krapp2021,FALSE,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download,,
pc02,pco2,Krapp2021,FALSE,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download,,
biome,biome,Krapp2021,FALSE,biome4output_800ka.nc,https://osf.io/cf5zp/?action=download,,
precipitation,prec,Krapp2021,FALSE,prec_800ka_ann.nc,https://osf.io/g7sb5/?action=download,,
temperature,temp,Krapp2021,FALSE,temp_800ka_ann.nc,https://osf.io/7m94u/?action=download,,
